Time,Joint,ProximitySensor
1702214299623,-1.57,1.0
1702214299623,-0.36,1.0
1702214299670,0.0,1.0
1702214299670,-1.57,1.0
1702214299670,-0.36,1.0
1702214299717,0.0,1.0
1702214299717,-1.57,1.0
1702214299717,-0.49,1.0
1702214299764,0.0,1.0
1702214299765,-1.57,1.0
1702214299765,-0.61,1.0
1702214299811,0.0,1.0
1702214299811,-1.47,1.0
1702214299811,-0.86,1.0
1702214299859,0.0,1.0
1702214299859,-1.47,1.0
1702214299859,-0.86,1.0
1702214299906,0.0,1.0
1702214299906,-1.34,1.0
1702214299906,-0.99,1.0
1702214299953,0.0,1.0
1702214299953,-1.21,1.0
1702214299953,-1.11,1.0
1702214300000,0.0,1.0
1702214300000,-1.08,1.0
1702214300000,-1.24,1.0
1702214300047,0.0,1.0
1702214300047,-0.96,1.0
1702214300047,-1.37,1.0
1702214300095,0.0,1.0
1702214300095,-0.83,1.0
1702214300095,-1.49,1.0
1702214300141,0.0,1.0
1702214300141,-0.71,1.0
1702214300141,-1.56,1.0
1702214300189,0.0,1.0
1702214300189,-0.58,1.0
1702214300189,-1.57,1.0
1702214300236,0.0,1.0
1702214300236,-0.46,1.0
1702214300236,-1.57,1.0
1702214300283,0.0,1.0
1702214300283,-0.2,1.0
1702214300283,-1.57,1.0
1702214300329,0.0,1.0
1702214300329,-0.2,1.0
1702214300329,-1.57,1.0
1702214300377,0.0,1.0
1702214300377,-0.08,1.0
1702214300377,-1.57,1.0
1702214300424,0.0,1.0
1702214300424,0.05,1.0
1702214300424,-1.57,1.0
1702214300471,0.0,1.0
1702214300471,0.18,1.0
1702214300471,-1.57,1.0
1702214300517,0.0,1.0
1702214300517,0.3,1.0
1702214300517,-1.57,1.0
1702214300564,0.0,1.0
1702214300564,0.55,1.0
1702214300564,-1.57,1.0
1702214300611,0.0,1.0
1702214300611,0.68,1.0
1702214300611,-1.44,1.0
1702214300658,0.0,1.0
1702214300658,0.68,1.0
1702214300658,-1.44,1.0
1702214300705,0.0,1.0
1702214300705,0.81,1.0
1702214300705,-1.31,1.0
1702214300752,0.0,1.0
1702214300752,0.94,1.0
1702214300752,-1.17,1.0
1702214300799,0.0,1.0
1702214300799,1.07,1.0
1702214300799,-1.04,1.0
1702214300846,0.0,1.0
1702214300846,1.2,1.0
1702214300846,-0.91,1.0
1702214300893,0.0,1.0
1702214300893,1.33,1.0
1702214300893,-0.78,1.0
1702214300939,0.0,1.0
1702214300939,1.46,1.0
1702214300939,-0.65,1.0
1702214300985,0.0,1.0
1702214300985,1.55,1.0
1702214300985,-0.52,1.0
1702214301032,0.0,1.0
1702214301032,1.57,1.0
1702214301032,-0.4,1.0
1702214301079,0.0,1.0
1702214301079,1.57,1.0
1702214301079,-0.27,1.0
1702214301126,0.0,1.0
1702214301126,1.57,1.0
1702214301126,-0.14,1.0
1702214301172,0.0,1.0
1702214301172,1.58,1.0
1702214301172,-0.01,1.0
1702214301219,0.0,1.0
1702214301219,1.58,1.0
1702214301219,0.11,1.0
1702214301266,0.0,1.0
1702214301266,1.57,1.0
1702214301266,0.24,1.0
1702214301313,0.0,1.0
1702214301313,1.57,1.0
1702214301313,0.37,1.0
1702214301360,0.0,1.0
1702214301360,1.58,1.0
1702214301360,0.5,1.0
1702214301406,0.0,1.0
1702214301406,1.58,1.0
1702214301406,0.63,1.0
1702214301453,0.0,1.0
1702214301453,1.58,1.0
1702214301453,0.76,1.0
1702214301502,0.0,1.0
1702214301502,1.47,1.0
1702214301502,0.88,1.0
1702214301548,0.0,1.0
1702214301548,1.22,1.0
1702214301548,1.14,1.0
1702214301594,0.0,1.0
1702214301594,1.22,1.0
1702214301594,1.14,1.0
1702214301640,0.0,1.0
1702214301640,1.1,1.0
1702214301640,1.27,1.0
1702214301687,0.0,1.0
1702214301687,0.97,1.0
1702214301687,1.39,1.0
1702214301734,0.0,1.0
1702214301734,0.85,1.0
1702214301734,1.51,1.0
1702214301780,0.0,1.0
1702214301780,0.72,1.0
1702214301780,1.56,1.0
1702214301828,0.0,1.0
1702214301828,0.6,1.0
1702214301828,1.57,1.0
1702214301876,0.0,1.0
1702214301876,0.47,1.0
1702214301876,1.57,1.0
1702214301922,0.0,1.0
1702214301922,0.34,1.0
1702214301922,1.57,1.0
1702214301969,0.0,1.0
1702214301969,0.09,1.0
1702214301969,1.57,1.0
1702214302016,0.0,1.0
1702214302016,0.09,1.0
1702214302016,1.57,1.0
1702214302063,0.0,1.0
1702214302063,-0.04,1.0
1702214302063,1.57,1.0
1702214302110,0.0,1.0
1702214302110,-0.16,1.0
1702214302110,1.57,1.0
1702214302156,0.0,1.0
1702214302156,-0.42,1.0
1702214302156,1.57,1.0
1702214302203,0.0,1.0
1702214302203,-0.55,1.0
1702214302203,1.57,1.0
1702214302251,0.0,1.0
1702214302251,-0.68,1.0
1702214302251,1.57,1.0
1702214302297,0.0,1.0
1702214302297,-0.8,1.0
1702214302297,1.44,1.0
1702214302344,0.0,0.0
1702214302344,-0.8,0.0
1702214302344,1.44,0.0
1702214302390,0.0,0.0
1702214302390,-1.06,0.0
1702214302390,1.17,0.0
1702214302436,0.0,0.0
1702214302436,-1.06,0.0
1702214302436,1.17,0.0
1702214302483,0.0,0.0
1702214302483,-1.19,0.0
1702214302483,1.04,0.0
1702214302531,0.0,0.0
1702214302531,-1.33,0.0
1702214302531,0.91,0.0
1702214302578,0.0,0.0
1702214302578,-1.46,0.0
1702214302578,0.78,0.0
1702214302625,0.0,0.0
1702214302625,-1.57,0.0
1702214302625,0.53,0.0
1702214302670,0.0,0.0
1702214302670,-1.57,0.0
1702214302670,0.53,0.0
1702214302716,0.0,0.0
1702214302716,-1.57,0.0
1702214302716,0.4,0.0
1702214302764,0.0,0.0
1702214302764,-1.57,0.0
1702214302764,0.27,0.0
1702214302811,0.0,0.0
1702214302811,-1.58,0.0
1702214302811,0.02,0.0
1702214302857,0.0,0.0
1702214302857,-1.58,0.0
1702214302857,0.02,0.0
1702214302904,0.0,0.0
1702214302904,-1.57,0.0
1702214302904,-0.24,0.0
1702214302951,0.0,0.0
1702214302951,-1.57,0.0
1702214302951,-0.24,0.0
1702214302998,0.0,0.0
1702214302998,-1.57,0.0
1702214302998,-0.36,0.0
1702214303045,0.0,0.0
1702214303045,-1.57,0.0
1702214303045,-0.62,0.0
1702214303092,0.0,0.0
1702214303092,-1.57,0.0
1702214303092,-0.62,0.0
1702214303139,0.0,0.0
1702214303139,-1.57,0.0
1702214303139,-0.74,0.0
1702214303185,0.0,0.0
1702214303185,-1.57,0.0
1702214303185,-0.87,0.0
1702214303232,0.0,0.0
1702214303232,-1.58,0.0
1702214303232,-1.12,0.0
1702214303279,0.0,0.0
1702214303279,-1.58,0.0
1702214303279,-1.12,0.0
1702214303326,0.0,0.0
1702214303326,-1.58,0.0
1702214303326,-1.37,0.0
1702214303374,0.0,0.0
1702214303374,-1.58,0.0
1702214303374,-1.37,0.0
1702214303420,0.0,0.0
1702214303420,-1.58,0.0
1702214303420,-1.56,0.0
1702214303467,0.0,0.0
1702214303467,-1.58,0.0
1702214303467,-1.56,0.0
1702214303514,0.0,0.0
1702214303514,-1.58,0.0
1702214303514,-1.57,0.0
1702214303561,0.0,0.0
1702214303561,-1.57,0.0
